"idSite"	"Site Name"	"DateTime"	"Observed"	"Predicted"	"Surge"	"MSL"	"Residual"	"StdDev"	"Quality"	"Status"	"Quality Flag"
""	""	"UTC"	"m"	"m"	"m"	"m"	"m"	"m"	"%"	"m"	""
130	Takoradi	2020-05-01 00:00:00	0.376	0.907	-0.531	0.734		0.000	100.000		0
130	Takoradi	2020-05-01 00:10:00	0.293	0.882	-0.589	0.732		0.000	100.000		0
130	Takoradi	2020-05-01 00:20:00	0.294	0.849	-0.555	0.726		0.000	100.000		0
130	Takoradi	2020-05-01 00:30:00	0.259	0.815	-0.556	0.721		0.000	100.000		0
130	Takoradi	2020-05-01 00:40:00	0.216	0.780	-0.564	0.733		0.000	100.000		0
130	Takoradi	2020-05-01 00:50:00	0.216	0.747	-0.531	0.724		0.000	100.000		0
130	Takoradi	2020-05-01 01:00:00	0.237	0.714	-0.477	0.732		0.000	100.000		0
130	Takoradi	2020-05-01 01:10:00	0.192	0.683	-0.491	0.267		0.000	100.000		0
130	Takoradi	2020-05-01 01:20:00	0.217	0.653	-0.436			0.000	100.000		0
130	Takoradi	2020-05-01 01:30:00	0.195	0.625	-0.430			0.000	100.000		0
130	Takoradi	2020-05-01 01:40:00	0.201	0.599	-0.398			0.000	100.000		0
130	Takoradi	2020-05-01 01:50:00	0.157	0.573	-0.417			0.000	100.000		0
130	Takoradi	2020-05-01 02:00:00	0.255	0.549	-0.294	0.272		0.000	100.000		0
130	Takoradi	2020-05-01 02:10:00	0.171	0.526	-0.355	0.271		0.000	100.000		0
130	Takoradi	2020-05-01 02:20:00	0.271	0.503	-0.232			0.000	100.000		0
130	Takoradi	2020-05-01 02:30:00	0.149	0.483	-0.334			0.000	100.000		0
130	Takoradi	2020-05-01 02:40:00	0.231	0.464	-0.233	0.113		0.000	100.000		0
130	Takoradi	2020-05-01 02:50:00	0.244	0.447	-0.204	0.720		0.000	100.000		0
130	Takoradi	2020-05-01 03:00:00	0.279	0.433	-0.154	0.732		0.000	100.000		0
130	Takoradi	2020-05-01 03:10:00	0.272	0.421	-0.150	0.724		0.000	100.000		0
130	Takoradi	2020-05-01 03:20:00	0.343	0.413	-0.070	0.270		0.000	100.000		0
130	Takoradi	2020-05-01 03:30:00	0.340	0.407	-0.067			0.000	100.000		0
130	Takoradi	2020-05-01 03:40:00	0.404	0.403	0.002			0.000	100.000		0
130	Takoradi	2020-05-01 03:50:00	0.413	0.400	0.013			0.000	100.000		0
130	Takoradi	2020-05-01 04:00:00	0.464	0.400	0.064	0.269		0.000	100.000		0
130	Takoradi	2020-05-01 04:10:00	0.499	0.400	0.099	0.267		0.000	100.000		0
130	Takoradi	2020-05-01 04:20:00	0.582	0.401	0.181			0.000	100.000		0
130	Takoradi	2020-05-01 04:30:00	0.544	0.403	0.140			0.000	100.000		0
130	Takoradi	2020-05-01 04:40:00	0.661	0.406	0.255	0.113		0.000	100.000		0
130	Takoradi	2020-05-01 04:50:00	0.614	0.411	0.203	0.717		0.000	100.000		0
130	Takoradi	2020-05-01 05:00:00	0.674	0.417	0.257	0.730		0.000	100.000		0
130	Takoradi	2020-05-01 05:10:00	0.704	0.425	0.279	0.268		0.000	100.000		0
130	Takoradi	2020-05-01 05:20:00	0.671	0.435	0.236			0.000	100.000		0
130	Takoradi	2020-05-01 05:30:00	0.718	0.448	0.270			0.000	100.000		0
130	Takoradi	2020-05-01 05:40:00	0.830	0.464	0.366	0.113		0.000	100.000		0
130	Takoradi	2020-05-01 05:50:00	0.777	0.482	0.295	0.718		0.000	100.000		0
130	Takoradi	2020-05-01 06:00:00	0.862	0.504	0.358	0.727		0.000	100.000		0
130	Takoradi	2020-05-01 06:10:00	0.901	0.527	0.373	0.264		0.000	100.000		0
130	Takoradi	2020-05-01 06:20:00	0.915	0.553	0.362			0.000	100.000		0
130	Takoradi	2020-05-01 06:30:00	0.951	0.580	0.371			0.000	100.000		0
130	Takoradi	2020-05-01 06:40:00	1.003	0.609	0.394	0.114		0.000	100.000		0
130	Takoradi	2020-05-01 06:50:00	0.960	0.638	0.322	0.721		0.000	100.000		0
130	Takoradi	2020-05-01 07:00:00	0.970	0.668	0.302	0.725		0.000	100.000		0
130	Takoradi	2020-05-01 07:10:00	1.013	0.698	0.315	0.269		0.000	100.000		0
130	Takoradi	2020-05-01 07:20:00	0.981	0.729	0.252			0.000	100.000		0
130	Takoradi	2020-05-01 07:30:00	1.015	0.759	0.256			0.000	100.000		0
130	Takoradi	2020-05-01 07:40:00	1.097	0.790	0.307	0.113		0.000	100.000		0
130	Takoradi	2020-05-01 07:50:00	1.047	0.820	0.227	0.718		0.000	100.000		0
130	Takoradi	2020-05-01 08:00:00	1.113	0.850	0.263	0.728		0.000	100.000		0
130	Takoradi	2020-05-01 08:10:00	1.035	0.871	0.164	0.728		0.000	100.000		0
130	Takoradi	2020-05-01 08:40:00	1.078	0.985	0.093	0.722		0.000	100.000		0
130	Takoradi	2020-05-01 08:50:00	1.061	0.999	0.062	0.717		0.000	100.000		0
130	Takoradi	2020-05-01 09:00:00	1.093	1.027	0.066	0.722		0.000	100.000		0
130	Takoradi	2020-05-01 09:10:00	1.086	1.054	0.032	0.266		0.000	100.000		0
130	Takoradi	2020-05-01 09:20:00	0.995	1.080	-0.085			0.000	100.000		0
130	Takoradi	2020-05-01 09:30:00	1.029	1.103	-0.073			0.000	100.000		0
130	Takoradi	2020-05-01 09:40:00	0.981	1.123	-0.142	0.113		0.000	100.000		0
130	Takoradi	2020-05-01 09:50:00	0.927	1.140	-0.213	0.717		0.000	100.000		0
130	Takoradi	2020-05-01 10:00:00	0.930	1.154	-0.224	0.725		0.000	100.000		0
130	Takoradi	2020-05-01 10:10:00	0.928	1.164	-0.236	0.270		0.000	100.000		0
130	Takoradi	2020-05-01 10:20:00	0.893	1.172	-0.278			0.000	100.000		0
130	Takoradi	2020-05-01 10:30:00	0.924	1.176	-0.252			0.000	100.000		0
130	Takoradi	2020-05-01 10:40:00	0.882	1.178	-0.296	0.113		0.000	100.000		0
130	Takoradi	2020-05-01 10:50:00	0.847	1.178	-0.331	0.713		0.000	100.000		0
130	Takoradi	2020-05-01 11:00:00	0.857	1.176	-0.319	0.728		0.000	100.000		0
130	Takoradi	2020-05-01 11:10:00	0.790	1.172	-0.382	0.264		0.000	100.000		0
130	Takoradi	2020-05-01 11:20:00	0.688	1.167	-0.479			0.000	100.000		0
130	Takoradi	2020-05-01 11:30:00	0.748	1.160	-0.412			0.000	100.000		0
130	Takoradi	2020-05-01 11:40:00	0.624	1.152	-0.529	0.114		0.000	100.000		0
130	Takoradi	2020-05-01 11:50:00	0.665	1.142	-0.477	0.721		0.000	100.000		0
130	Takoradi	2020-05-01 12:00:00	0.611	1.130	-0.519	0.719		0.000	100.000		0
130	Takoradi	2020-05-01 12:10:00	0.600	1.116	-0.516	0.268		0.000	100.000		0
130	Takoradi	2020-05-01 12:20:00	0.557	1.099	-0.542			0.000	100.000		0
130	Takoradi	2020-05-01 12:30:00	0.628	1.080	-0.452			0.000	100.000		0
130	Takoradi	2020-05-01 12:40:00	0.419	1.059	-0.640	0.112		0.000	100.000		0
130	Takoradi	2020-05-01 12:50:00	0.522	1.037	-0.514	0.717		0.000	100.000		0
130	Takoradi	2020-05-01 13:00:00	0.458	1.013	-0.555	0.732		0.000	100.000		0
130	Takoradi	2020-05-01 13:10:00	0.484	0.988	-0.504	0.460		0.000	100.000		0
130	Takoradi	2020-05-01 13:20:00	0.564	0.963	-0.399			0.000	100.000		0
130	Takoradi	2020-05-01 13:30:00	0.444	0.939	-0.495			0.000	100.000		0
130	Takoradi	2020-05-01 13:40:00	0.463	0.915	-0.452			0.000	100.000		0
130	Takoradi	2020-05-01 13:50:00	0.437	0.892	-0.455	0.341		0.000	100.000		0
130	Takoradi	2020-05-01 14:00:00	0.479	0.869	-0.390			0.000	100.000		0
130	Takoradi	2020-05-01 14:10:00	0.480	0.848	-0.368			0.000	100.000		0
130	Takoradi	2020-05-01 14:20:00	0.451	0.827	-0.376			0.000	100.000		0
