"idSite"	"Site Name"	"DateTime"	"Observed"	"Predicted"	"Surge"	"MSL"	"Residual"	"StdDev"	"Quality"	"Status"	"Quality Flag"
""	""	"UTC"	"m"	"m"	"m"	"m"	"m"	"m"	"%"	"m"	""
131	Tema	2020-05-01 00:00:00	0.558	0.917	-0.358	0.799		0.000	100.000		0
131	Tema	2020-05-01 00:10:00	0.555	0.889	-0.334	0.803		0.000	100.000		0
131	Tema	2020-05-01 00:20:00	0.545	0.855	-0.310	0.794		0.000	100.000		0
131	Tema	2020-05-01 00:30:00	0.516	0.821	-0.305	0.790		0.000	100.000		0
131	Tema	2020-05-01 00:40:00	0.478	0.787	-0.310	0.795		0.000	100.000		0
131	Tema	2020-05-01 00:50:00	0.425	0.754	-0.329	0.798		0.000	100.000		0
131	Tema	2020-05-01 01:00:00	0.427	0.723	-0.296	0.802		0.000	100.000		0
131	Tema	2020-05-01 01:10:00	0.387	0.694	-0.307	0.797		0.000	100.000		0
131	Tema	2020-05-01 01:20:00	0.367	0.665	-0.298	0.801		0.000	100.000		0
131	Tema	2020-05-01 01:30:00	0.353	0.637	-0.284	0.792		0.000	100.000		0
131	Tema	2020-05-01 01:40:00	0.340	0.611	-0.271	0.803		0.000	100.000		0
131	Tema	2020-05-01 01:50:00	0.358	0.587	-0.229	0.795		0.000	100.000		0
131	Tema	2020-05-01 02:00:00	0.359	0.565	-0.206	0.798		0.000	100.000		0
131	Tema	2020-05-01 02:10:00	0.296	0.544	-0.248	0.807		0.000	100.000		0
131	Tema	2020-05-01 02:20:00	0.331	0.526	-0.195	0.795		0.000	100.000		0
131	Tema	2020-05-01 02:30:00	0.287	0.510	-0.222	0.800		0.000	100.000		0
131	Tema	2020-05-01 02:40:00	0.331	0.495	-0.164	0.795		0.000	100.000		0
131	Tema	2020-05-01 02:50:00	0.329	0.482	-0.153	0.796		0.000	100.000		0
131	Tema	2020-05-01 03:00:00	0.307	0.472	-0.165	0.809		0.000	100.000		0
131	Tema	2020-05-01 03:10:00	0.367	0.463	-0.096	0.798		0.000	100.000		0
131	Tema	2020-05-01 03:20:00	0.321	0.456	-0.134	0.802		0.000	100.000		0
131	Tema	2020-05-01 03:30:00	0.370	0.451	-0.081	0.788		0.000	100.000		0
131	Tema	2020-05-01 03:40:00	0.393	0.448	-0.055	0.803		0.000	100.000		0
131	Tema	2020-05-01 03:50:00	0.390	0.447	-0.057	0.800		0.000	100.000		0
131	Tema	2020-05-01 04:00:00	0.456	0.449	0.006	0.800		0.000	100.000		0
131	Tema	2020-05-01 04:10:00	0.413	0.453	-0.041	0.804		0.000	100.000		0
131	Tema	2020-05-01 04:20:00	0.466	0.460	0.006	0.799		0.000	100.000		0
131	Tema	2020-05-01 04:30:00	0.442	0.468	-0.026	0.800		0.000	100.000		0
131	Tema	2020-05-01 04:40:00	0.512	0.480	0.032	0.801		0.000	100.000		0
131	Tema	2020-05-01 04:50:00	0.535	0.493	0.042	0.799		0.000	100.000		0
131	Tema	2020-05-01 05:00:00	0.566	0.509	0.057	0.806		0.000	100.000		0
131	Tema	2020-05-01 05:10:00	0.630	0.527	0.104	0.803		0.000	100.000		0
131	Tema	2020-05-01 05:20:00	0.620	0.546	0.074	0.800		0.000	100.000		0
131	Tema	2020-05-01 05:30:00	0.639	0.568	0.072	0.794		0.000	100.000		0
131	Tema	2020-05-01 05:40:00	0.688	0.590	0.098	0.800		0.000	100.000		0
131	Tema	2020-05-01 05:50:00	0.682	0.615	0.068	0.806		0.000	100.000		0
131	Tema	2020-05-01 06:00:00	0.757	0.640	0.117	0.809		0.000	100.000		0
131	Tema	2020-05-01 06:10:00	0.766	0.666	0.100	0.804		0.000	100.000		0
131	Tema	2020-05-01 06:20:00	0.818	0.693	0.124	0.800		0.000	100.000		0
131	Tema	2020-05-01 06:30:00	0.831	0.721	0.109	0.793		0.000	100.000		0
131	Tema	2020-05-01 06:40:00	0.871	0.750	0.121	0.805		0.000	100.000		0
131	Tema	2020-05-01 06:50:00	0.911	0.779	0.132	0.804		0.000	100.000		0
131	Tema	2020-05-01 07:00:00	0.926	0.808	0.118	0.805		0.000	100.000		0
131	Tema	2020-05-01 07:10:00	0.932	0.838	0.094	0.810		0.000	100.000		0
131	Tema	2020-05-01 07:20:00	0.976	0.868	0.108	0.801		0.000	100.000		0
131	Tema	2020-05-01 07:30:00	0.970	0.898	0.072	0.804		0.000	100.000		0
131	Tema	2020-05-01 07:40:00	1.066	0.928	0.138	0.800		0.000	100.000		0
131	Tema	2020-05-01 07:50:00	1.028	0.958	0.070	0.804		0.000	100.000		0
131	Tema	2020-05-01 08:00:00	1.060	0.987	0.073	0.813		0.000	100.000		0
131	Tema	2020-05-01 08:10:00	1.055	1.016	0.039	0.810		0.000	100.000		0
131	Tema	2020-05-01 08:20:00	1.095	1.044	0.050	0.802		0.000	100.000		0
131	Tema	2020-05-01 08:30:00	1.143	1.071	0.072	0.792		0.000	100.000		0
131	Tema	2020-05-01 08:40:00	1.150	1.098	0.052	0.804		0.000	100.000		0
131	Tema	2020-05-01 08:50:00	1.163	1.122	0.041	0.808		0.000	100.000		0
131	Tema	2020-05-01 09:00:00	1.123	1.146	-0.022	0.808		0.000	100.000		0
